,city,state,citystate,lat,lon
0,Middlebury,VT,"Middlebury, VT",44.0153371,-73.16734
1,Bennington,VT,"Bennington, VT",42.8781345,-73.1967741
2,Rutland,VT,"Rutland, VT",43.6106237,-72.9726065
3,Bradford,VT,"Bradford, VT",43.9925315,-72.1290054
4,Morrisville,VT,"Morrisville, VT",44.5617189,-72.5984486
5,West Dover,VT,"West Dover, VT",42.9388987,-72.8518476
6,Killington,VT,"Killington, VT",43.6775677,-72.77982469999999
7,Barre,VT,"Barre, VT",44.1970055,-72.50204939999999
8,Burlington,VT,"Burlington, VT",44.4758825,-73.21207199999999
9,Woodstock,VT,"Woodstock, VT",43.6242442,-72.51851119999999
10,St Albans,VT,"St Albans, VT",44.8107132,-73.0835582
11,Brattleboro,VT,"Brattleboro, VT",42.8509152,-72.5578678
12,Floyd,VA,"Floyd, VA",36.9112443,-80.3200502
13,Chantilly,VA,"Chantilly, VA",38.8942786,-77.43109919999999
14,Winchester,VA,"Winchester, VA",39.1856597,-78.1633341
15,Leesburg,VA,"Leesburg, VA",39.1156615,-77.56360149999999
16,Manassas,VA,"Manassas, VA",38.7509488,-77.47526669999999
17,Washington,VA,"Washington, VA",38.7134301,-78.1590813
18,Richmond,VA,"Richmond, VA",37.5407246,-77.4360481
19,Norfolk,VA,"Norfolk, VA",36.8507689,-76.28587259999999
20,Luray,VA,"Luray, VA",38.665397,-78.4594522
21,Fort Belvoir,VA,"Fort Belvoir, VA",38.71887160000001,-77.15426839999999
22,Culpeper,VA,"Culpeper, VA",38.4729632,-77.9962512
23,Wytheville,VA,"Wytheville, VA",36.9484528,-81.084811
24,Strasburg,VA,"Strasburg, VA",38.9887199,-78.358616
25,Martinsville,VA,"Martinsville, VA",36.6915262,-79.8725386
26,Fredericksburg,VA,"Fredericksburg, VA",38.3031837,-77.4605399
27,Lexington,VA,"Lexington, VA",37.78402080000001,-79.4428157
28,Marion,VA,"Marion, VA",36.8348383,-81.5148368
29,Mclean,VA,"Mclean, VA",38.9338676,-77.1772604
30,Fairfax Station,VA,"Fairfax Station, VA",38.8015452,-77.3254485
31,Ashland,VA,"Ashland, VA",37.7590318,-77.47998369999999
32,Fairfax,VA,"Fairfax, VA",38.84622359999999,-77.30637329999999
33,Bristol,VA,"Bristol, VA",36.595141,-82.1888089
34,Madison,VA,"Madison, VA",38.3804062,-78.25750350000001
